dataid,local_15min,air1,clotheswasher_dryg1,dishwasher1,disposal1,furnace1,grid,kitchenapp1,kitchenapp2,microwave1,refrigerator1,solar
9836,951.75,0,0.074,0.001,0,0.007,-0.857,0,0.007,0.005,0.106,1.244
9836,952,0,0.074,0,0,0.007,-0.921,0,0.007,0.005,0.02,1.219
9836,952.25,0,0.105,0.001,0,0.007,-0.797,0,0.007,0.005,0.056,1.173
9836,952.5,0,0.167,0.002,0,0.007,-0.68,0,0.007,0.005,0.098,1.141
9836,952.75,0,0.056,0,0,0.007,-0.726,0,0.007,0.005,0.012,1.106
9836,953,0.415,0.38,0.002,0,0.147,0.527,0,0.007,0.006,0.078,1.049
9836,953.25,1.861,0.173,0.002,0,0.623,2.051,0,0.007,0.009,0.098,1.006
9836,953.5,1.856,0.139,0.003,0,0.626,2.044,0,0.007,0.009,0.096,0.955
9836,953.75,1.849,0.26,0.001,0,0.626,2.204,0,0.007,0.009,0.089,0.895
9836,954,1.829,0.145,0.004,0,0.624,2.193,0,0.007,0.009,0.009,0.833
9836,954.25,0.984,0.273,0.002,0,0.415,1.153,0,0.007,0.007,0.008,0.77
9836,954.5,1.811,0.172,0.003,0,0.624,2.186,0,0.007,0.009,0.075,0.699
9836,954.75,0.584,0.004,0.001,0,0.282,0.515,0,0.007,0.006,0.094,0.627
9836,955,0,0.004,0,0,0.007,-0.287,0,0.007,0.005,0.094,0.552
9836,955.25,0,0.004,0,0,0.007,-0.211,0,0.007,0.005,0.083,0.476
9836,955.5,0,0.004,0,0,0.007,-0.21,0,0.007,0.005,0.008,0.401
9836,955.75,0,0.004,0,0,0.007,-0.147,0,0.007,0.005,0.008,0.323
9836,956,0,0.004,0,0,0.007,-0.018,0,0.007,0.005,0.054,0.253
9836,956.25,0,0.004,0,0,0.007,0.143,0,0.007,0.005,0.096,0.183
9836,956.5,0,0.004,0,0,0.007,0.24,0,0.007,0.005,0.098,0.12
9836,956.75,0,0.004,0,0,0.007,0.31,0,0.007,0.005,0.097,0.06
9836,957,0,0.004,0,0,0.008,0.308,0,0.007,0.005,0.086,0.006
9836,957.25,0,0.004,0,0,0.007,0.304,0,0.007,0.005,0.101,-0.007
9836,957.5,0,0.004,0,0,0.007,0.317,0,0.007,0.005,0.076,-0.015
9836,957.75,0,0.004,0,0,0.007,0.399,0,0.007,0.005,0.073,-0.007
9836,958,0,0.004,0,0,0.007,0.387,0,0.007,0.005,0.093,0
9836,958.25,0,0.004,0.004,0,0.007,0.868,0,0.006,0.005,0.354,-0.001
9836,958.5,0,0.004,0.003,0,0.007,0.751,0,0.006,0.005,0.248,0
9836,958.75,0,0.004,0,0,0.007,0.523,0,0.007,0.005,0.097,0
9836,959,0,0.004,0,0,0.007,0.545,0,0.007,0.005,0.12,0
9836,959.25,0,0.004,0,0,0.007,0.53,0,0.007,0.005,0.113,0
9836,959.5,0,0.004,0,0,0.007,0.532,0,0.007,0.005,0.116,0
9836,959.75,0,0.004,0,0,0.007,0.499,0,0.007,0.005,0.114,0
9836,960,0,0.004,0,0,0.007,0.43,0,0.007,0.005,0.043,0
9836,960.25,0,0.004,0,0,0.007,0.394,0,0.007,0.005,0.008,0
9836,960.5,0,0.004,0,0,0.007,0.409,0,0.007,0.005,0.043,0
9836,960.75,0,0.004,0,0,0.007,0.674,0,0.007,0.005,0.095,0.001
9836,961,0,0.004,0,0,0.007,0.426,0,0.007,0.005,0.095,0
9836,961.25,0,0.004,0,0,0.007,0.336,0,0.007,0.005,0.082,0
9836,961.5,0,0.004,0,0,0.007,0.287,0,0.007,0.005,0.009,0
9836,961.75,0,0.004,0,0,0.007,0.245,0,0.007,0.005,0.009,0
9836,962,0,0.004,0,0,0.007,0.348,0,0.007,0.005,0.073,0
9836,962.25,0,0.004,0,0,0.007,0.361,0,0.007,0.005,0.094,0
9836,962.5,0,0.004,0,0,0.007,0.33,0,0.007,0.005,0.092,0
9836,962.75,0,0.004,0,0,0.007,0.298,0,0.007,0.005,0.027,0
9836,963,0,0.004,0,0,0.007,0.255,0,0.007,0.005,0.009,0
9836,963.25,0,0.004,0,0,0.007,0.301,0,0.007,0.005,0.041,0
9836,963.5,0,0.004,0,0,0.007,0.339,0,0.007,0.005,0.092,0
9836,963.75,0,0.004,0,0,0.007,0.365,0,0.007,0.005,0.093,0
9836,964,0,0.004,0,0,0.007,0.278,0,0.007,0.005,0.044,0
9836,964.25,0,0.004,0,0,0.007,0.281,0,0.007,0.005,0.009,0
9836,964.5,0,0.004,0,0,0.007,0.267,0,0.007,0.005,0.02,0
9836,964.75,0,0.004,0,0,0.007,0.351,0,0.007,0.005,0.091,0
9836,965,0,0.004,0,0,0.007,0.353,0,0.007,0.005,0.093,0
9836,965.25,0,0.004,0,0,0.007,0.307,0,0.007,0.005,0.055,0
9836,965.5,0,0.004,0,0,0.007,0.249,0,0.007,0.005,0.009,0
9836,965.75,0,0.004,0,0,0.007,0.291,0,0.007,0.005,0.01,0
9836,966,0,0.004,0,0,0.007,0.343,0,0.007,0.005,0.087,0
9836,966.25,0,0.004,0,0,0.007,0.349,0,0.007,0.005,0.093,0
9836,966.5,0,0.004,0,0,0.007,0.335,0,0.007,0.005,0.063,0
9836,966.75,0,0.004,0,0,0.007,0.256,0,0.007,0.005,0.009,0
9836,967,0,0.004,0,0,0.007,0.27,0,0.007,0.005,0.009,0
9836,967.25,0,0.004,0,0,0.007,0.323,0,0.007,0.005,0.077,0
9836,967.5,0,0.004,0,0,0.007,0.369,0,0.007,0.005,0.092,0
9836,967.75,0,0.004,0,0,0.007,0.31,0,0.007,0.005,0.071,0
9836,968,0,0.004,0,0,0.007,0.286,0,0.007,0.005,0.009,0
9836,968.25,0,0.004,0,0,0.007,0.224,0,0.007,0.005,0.009,0
9836,968.5,0,0.004,0,0,0.007,0.218,0,0.007,0.005,0.068,0.006
9836,968.75,0,0.004,0,0,0.007,0.377,0,0.007,0.005,0.092,0.011
9836,969,0,0.004,0,0,0.007,0.427,0,0.007,0.005,0.075,0.054
9836,969.25,0,0.004,0,0,0.007,0.055,0,0.007,0.005,0.01,0.124
9836,969.5,0,0.004,0,0,0.007,0.016,0,0.007,0.005,0.011,0.262
9836,969.75,0,0.004,0,0,0.007,-0.108,0,0.007,0.005,0.09,0.346
9836,970,0,0.004,0,0,0.007,-0.15,0,0.007,0.005,0.093,0.354
9836,970.25,0,0.004,0,0,0.007,-0.183,0,0.007,0.005,0.056,0.39
9836,970.5,0.002,0.004,0,0,0.007,0.105,0.435,0.007,0.005,0.01,0.476
9836,970.75,0,0.004,0,0,0.007,-0.242,0.096,0.007,0.005,0.05,0.555
9836,971,0,0.004,0,0,0.007,-0.293,0.077,0.007,0.005,0.094,0.64
9836,971.25,0,0.004,0,0,0.007,-0.333,0.094,0.007,0.005,0.091,0.662
9836,971.5,0,0.004,0,0,0.007,-0.45,0.081,0.007,0.005,0.019,0.715
9836,971.75,0,0.004,0,0,0.007,-0.556,0.032,0.007,0.005,0.011,0.777
9836,972,0,0.004,0,0,0.007,-0.591,0,0.007,0.005,0.082,0.838
9836,972.25,0,0.004,0,0,0.007,-0.662,0,0.007,0.005,0.094,0.907
9836,972.5,0,0.004,0,0,0.007,-0.749,0,0.007,0.005,0.047,0.981
9836,972.75,0,0.004,0,0,0.007,-0.878,0,0.007,0.005,0.009,1.071
9836,973,0,0.004,0,0,0.008,-0.93,0,0.007,0.005,0.012,1.113
9836,973.25,0,0.004,0,0,0.007,-0.885,0,0.007,0.005,0.092,1.153
9836,973.5,0,0.004,0,0,0.007,-0.931,0,0.007,0.005,0.095,1.192
